Date,Time,Notetype,Maskedserial,Locality
2023-02-22,04:05:32,50,Sxxxx8654xxx,Enterprise Shores
2023-02-22,04:05:32,50,Sxxxx6247xxx,Enterprise Shores
2023-02-22,03:59:52,50,Zxxxx4245xxx,Enterprise Shores
2023-02-22,03:59:52,50,Uxxxx3376xxx,Enterprise Shores
2023-02-19,16:21:50,50,Vxxxx7522xxx,Wildey
2023-02-19,16:21:50,50,Sxxxx0161xxx,Wildey
2023-02-19,16:21:50,50,Sxxxx1237xxx,Wildey
2023-02-19,16:21:50,50,Sxxxx7074xxx,Wildey
2023-02-19,16:21:50,50,Sxxxx2627xxx,Wildey
2023-02-12,20:11:11,10,Wxxxx4733xxx,Bridgetown
2023-01-14,14:50:57,50,Vxxxx6322xxx,Wildey
2023-01-08,14:38:08,50,Vxxxx6197xxx,Wildey
2023-01-08,14:38:08,50,Sxxxx6258xxx,Wildey
2023-01-08,14:38:08,50,Rxxxx5756xxx,Wildey
2023-01-08,14:38:08,50,Rxxxx3944xxx,Wildey
2023-01-03,13:03:49,50,Sxxxx8665xxx,Wildey
2023-01-03,13:03:49,50,Rxxxx1505xxx,Wildey
2023-01-03,13:03:49,50,Rxxxx4252xxx,Wildey
2023-01-03,13:03:49,50,Pxxxx7407xxx,Wildey
