Antigua and Barbuda,2022,0.00
Antigua and Barbuda,2021,0.00
Antigua and Barbuda,2020,0.02
Antigua and Barbuda,2019,0.27
Antigua and Barbuda,2018,0.02
Antigua and Barbuda,2017,0.00
Antigua and Barbuda,2016,0.07
Antigua and Barbuda,2015,0.18
Antigua and Barbuda,2014,0.03
Antigua and Barbuda,2013,0.02
Antigua and Barbuda,2012,0.00
Antigua and Barbuda,2011,0.01
Antigua and Barbuda,2010,0.01
Antigua and Barbuda,2009,0.00
Antigua and Barbuda,2008,0.04
Antigua and Barbuda,2007,0.00
Antigua and Barbuda,2006,0.00
Antigua and Barbuda,2005,0.00
Antigua and Barbuda,2004,0.00
Antigua and Barbuda,2003,0.00
Antigua and Barbuda,2002,0.00
