Saint Kitts and Nevis,2022,0.03
Saint Kitts and Nevis,2021,0.00
Saint Kitts and Nevis,2020,0.00
Saint Kitts and Nevis,2019,0.01
Saint Kitts and Nevis,2018,0.01
Saint Kitts and Nevis,2017,0.00
Saint Kitts and Nevis,2016,0.01
Saint Kitts and Nevis,2015,0.01
Saint Kitts and Nevis,2014,0.00
Saint Kitts and Nevis,2013,0.00
Saint Kitts and Nevis,2012,0.05
Saint Kitts and Nevis,2011,0.00
Saint Kitts and Nevis,2010,0.00
Saint Kitts and Nevis,2009,0.00
Saint Kitts and Nevis,2008,0.01
Saint Kitts and Nevis,2007,0.00
Saint Kitts and Nevis,2006,0.00
Saint Kitts and Nevis,2005,0.00
Saint Kitts and Nevis,2004,0.00
Saint Kitts and Nevis,2003,0.00
Saint Kitts and Nevis,2002,0.00
