Trinidad and Tobago,2022,0.00
Trinidad and Tobago,2021,0.00
Trinidad and Tobago,2020,0.00
Trinidad and Tobago,2019,0.00
Trinidad and Tobago,2018,0.00
Trinidad and Tobago,2017,0.00
Trinidad and Tobago,2016,0.00
Trinidad and Tobago,2015,0.06
Trinidad and Tobago,2014,0.00
Trinidad and Tobago,2013,0.04
Trinidad and Tobago,2012,0.00
Trinidad and Tobago,2011,0.00
Trinidad and Tobago,2010,0.00
Trinidad and Tobago,2009,0.00
Trinidad and Tobago,2008,0.00
Trinidad and Tobago,2007,0.00
Trinidad and Tobago,2006,0.00
Trinidad and Tobago,2005,0.00
Trinidad and Tobago,2004,0.00
Trinidad and Tobago,2003,0.00
Trinidad and Tobago,2002,0.00
